RED,GREEN,BLUE,CONTRAST
1.193837947,1.292708552,1.474206559,3.592616321
1.770404016,1.773149943,1.786834523,1.577977967
1.653037487,1.676203276,1.731656318,0.367915885
1.109613885,1.129940333,1.180058868,2.195815991
1.239766693,1.259788726,1.334634132,0.489771992
1.29487324,1.309134918,1.35815414,0.409609656
1.352350016,1.353687366,1.378533816,0.607732818
1.302411936,1.299710588,1.296758891,0.999308131
0.938365821,0.952580128,0.977973963,0.317991613
1.087416174,1.106308632,1.128781923,0.131178309
0.652215083,0.78057171,0.890732043,7.392235049
1.450771131,1.422526478,1.361762076,0.90946639
0.871664484,0.982131333,1.086305499,0.219307958
0.838469705,0.949846241,1.046281358,0.129373979
0.872712982,0.957814298,1.019535205,0.292133426
